wheel-base,length,width,curb-weight,num-of-cylinders,engine-size,bore,horsepower,city-mpg,highway-mpg,price,wheel-base,length,width,curb-weight,num-of-cylinders,engine-size,bore,horsepower,city-mpg,highway-mpg,price,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,fuel-system_1bbl,fuel-system_2bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi
88.6,168.8,64.1,2548,4.0,130,3.47,111.0,21,27,13495.0,88.6,168.8,64.1,2548,4.0,130,3.47,111.0,21,27,13495.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
88.6,168.8,64.1,2548,4.0,130,3.47,111.0,21,27,16500.0,88.6,168.8,64.1,2548,4.0,130,3.47,111.0,21,27,16500.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
94.5,171.2,65.5,2823,6.0,152,2.68,154.0,19,26,16500.0,94.5,171.2,65.5,2823,6.0,152,2.68,154.0,19,26,16500.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
99.8,176.6,66.2,2337,4.0,109,3.19,102.0,24,30,13950.0,99.8,176.6,66.2,2337,4.0,109,3.19,102.0,24,30,13950.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
99.4,176.6,66.4,2824,5.0,136,3.19,115.0,18,22,17450.0,99.4,176.6,66.4,2824,5.0,136,3.19,115.0,18,22,17450.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
99.8,177.3,66.3,2507,5.0,136,3.19,110.0,19,25,15250.0,99.8,177.3,66.3,2507,5.0,136,3.19,110.0,19,25,15250.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
105.8,192.7,71.4,2844,5.0,136,3.19,110.0,19,25,17710.0,105.8,192.7,71.4,2844,5.0,136,3.19,110.0,19,25,17710.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
105.8,192.7,71.4,2954,5.0,136,3.19,110.0,19,25,18920.0,105.8,192.7,71.4,2954,5.0,136,3.19,110.0,19,25,18920.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
105.8,192.7,71.4,3086,5.0,131,3.13,140.0,17,20,23875.0,105.8,192.7,71.4,3086,5.0,131,3.13,140.0,17,20,23875.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
101.2,176.8,64.8,2395,4.0,108,3.5,101.0,23,29,16430.0,101.2,176.8,64.8,2395,4.0,108,3.5,101.0,23,29,16430.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
